Date,Who,What,How Much,From/To,Source,Year,
2012/03,O Entregador,Acquired by,undisclosed,Peixe Urbano,http://thenextweb.com/la/2012/03/27/peixe-urbano-buys-food-delivery-startup-to-grow-beyond-daily-deals/,2012,
2012/03,Sophie & Juliete,Raised from,undisclosed,"Redpoint eVentures, IG Expansion",http://startups.ig.com.br/2012/redpoint-eventures-e-ig-expansion-investem-em-comercio-social-de-moda/,2012,
2012/03,Wabbers,Raised from,undisclosed,IVP,http://startups.ig.com.br/2012/depois-de-o-entregador-outro-participante-do-startup-farm-recebe-investimento-wabbers/,2012,
2012/03,Zocprint,Raised from,undisclosed,Rocket Internet,http://webholic.com.br/2012/04/26/rocket-internet-mandando-ver-zocprint-e-a-mais-nova-investida-brasileira-do-grupo-alemao/,2012,
2012/03,21 diamonds,Raised from,undisclosed,Rocket Internet,http://webholic.com.br/2012/04/13/o-imperio-continua-crescendo-21-diamonds-e-novo-clone-da-rocket-internet/,2012,
2012/03,YepDoc,Raised from,undisclosed,Rocket Internet,http://webholic.com.br/2012/04/23/rocket-internet-ataca-novamente-alema-investe-em-clone-brasileiro-do-zocdoc/,2012,
2012/04,Ceviu,Acquired by,undisclosed,CareerBuilder,http://www.onrec.com/news/news-archive/careerbuilder-acquires-ceviu-in-brazil,2012,
2012/04,Minha Vida ,Raised from,undisclosed,"Intel Capital, Catalyst",http://www.pehub.com/144463/brazils-minha-vida-raises-money-from-intel-catalyst/,2012,
2012/04,Softcorp,Acquired by,BRL 15m,Techresult ,http://startups.ig.com.br/2012/ideiasnet-vende-softcorp-por-r-15-milhoes-para-a-techresult/,2012,
2012/04,Vtex,Raised from,undisclosed,Naspers,http://colunas.revistaepocanegocios.globo.com/tecneira/2012/04/09/naspers-compra-277-da-vtex/,2012,
2012/04,Whapp,Merged with,undisclosed,Imaginareality,http://startups.ig.com.br/2012/em-menos-de-1-ano-construimos-uma-empresa-digna-de-atrair-interesse-de-venture-capitalists/,2012,
2012/05,HelpSaude,Raised from,undisclosed,Kaszek Ventures,http://startups.ig.com.br/2012/helpsaude-recebe-investimento-de-kaszek-ventures,2012,
2012/06,Consulta Remédios,Acquired by,undisclosed,Grupo Codal,http://webholic.com.br/2012/05/31/site-consulta-remedios-recebe-investimento,2012,
2012/06,Netshoes,Raised from,BRL 135m,Temasek Holdings,http://epocanegocios.globo.com/Informacao/Acao/noticia/2012/06/netshoes-vende-fatia-da-companhia-temasek.html,2012,
2012/06,Flores Online,Raised from,undisclosed,BR Opportunites e 1800-flowers,http://economia.ig.com.br/empresas/2012-06-04/br-opportunities-e-americana-compram-participacao-na-flores-online.html,2012,
